Team,TotalHomeWin,TotalHomeLoss,TotalHomeTie,HomeScoredGoals,HomeAgainstGoals,TotalAwayWin,TotalAwayLoss,TotalAwayTie,AwayAgainstGoals,AwayScoredGoals,GoalsScored,GoalsAgainst,Win,Loss,Tie,TotalGames,GoalDifferentials,WinPercentage,GoalsPerGame,GoalsAgainstPerGame,TeamPosition,Season
Schalke 04,7,3,7,28,16,6,7,4,26,21,49,42,13,10,11,34,7,0.382,1.441,1.235,7,2003
Hansa Rostock,10,6,1,34,18,2,8,7,36,21,55,54,12,14,8,34,1,0.353,1.618,1.588,8,2003
Wolfsburg,11,5,1,38,25,2,13,2,36,18,56,61,13,18,3,34,-5,0.382,1.647,1.794,9,2003
M'gladbach,7,4,6,21,16,3,11,3,33,19,40,49,10,15,9,34,-9,0.294,1.176,1.441,10,2003
Hamburg,11,3,3,33,22,3,10,4,38,14,47,60,14,13,7,34,-13,0.412,1.382,1.765,11,2003
Hannover,5,5,7,27,26,4,10,3,37,22,49,63,9,15,10,34,-14,0.265,1.441,1.853,12,2003
Ein Frankfurt,6,7,4,25,24,3,13,1,29,11,36,53,9,20,5,34,-17,0.265,1.059,1.559,13,2003
Hertha,6,5,6,26,24,3,8,6,35,16,42,59,9,13,12,34,-17,0.265,1.235,1.735,14,2003
Kaiserslautern,8,4,5,25,19,3,13,1,43,14,39,62,11,17,6,34,-23,0.324,1.147,1.824,15,2003
Munich 1860,5,8,4,16,25,3,10,4,30,16,32,55,8,18,8,34,-23,0.235,0.941,1.618,16,2003
Freiburg,10,4,3,32,25,0,12,5,42,10,42,67,10,16,8,34,-25,0.294,1.235,1.971,17,2003
FC Koln,6,9,2,22,23,0,14,3,34,10,32,57,6,23,5,34,-25,0.176,0.941,1.676,18,2003
Bayern Munich,14,1,2,44,14,10,4,3,19,31,75,33,24,5,5,34,42,0.706,2.206,0.971,1,2004
Werder Bremen,9,4,4,33,15,9,7,1,22,35,68,37,18,11,5,34,31,0.529,2.0,1.088,2,2004
Hertha,8,1,8,34,13,7,5,5,18,25,59,31,15,6,13,34,28,0.441,1.735,0.912,3,2004
Leverkusen,12,2,3,42,18,4,7,6,26,23,65,44,16,9,9,34,21,0.471,1.912,1.294,4,2004
Stuttgart,12,3,2,34,15,5,7,5,25,20,54,40,17,10,7,34,14,0.5,1.588,1.176,5,2004
Schalke 04,11,4,2,33,24,9,7,1,22,23,56,46,20,11,3,34,10,0.588,1.647,1.353,6,2004
Hamburg,9,7,1,27,22,7,8,2,28,28,55,50,16,15,3,34,5,0.471,1.618,1.471,7,2004
Dortmund,8,4,5,24,18,7,5,5,26,23,47,44,15,9,10,34,3,0.441,1.382,1.294,8,2004
Wolfsburg,10,6,1,35,20,5,10,2,31,14,49,51,15,16,3,34,-2,0.441,1.441,1.5,9,2004
Hannover,8,7,2,21,19,5,8,4,17,13,34,36,13,15,6,34,-2,0.382,1.0,1.059,10,2004
Mainz,9,5,3,28,21,3,10,4,34,22,50,55,12,15,7,34,-5,0.353,1.471,1.618,11,2004
Nurnberg,4,7,6,25,25,6,9,2,38,30,55,63,10,16,8,34,-8,0.294,1.618,1.853,12,2004
Kaiserslautern,8,7,2,20,21,4,9,4,31,23,43,52,12,16,6,34,-9,0.353,1.265,1.529,13,2004
Bielefeld,7,7,3,21,21,4,9,4,28,16,37,49,11,16,7,34,-12,0.324,1.088,1.441,14,2004
M'gladbach,8,4,5,26,21,0,10,7,30,9,35,51,8,14,12,34,-16,0.235,1.029,1.5,15,2004
Bochum,6,6,5,30,29,3,11,3,39,17,47,68,9,17,8,34,-21,0.265,1.382,2.0,16,2004
Hansa Rostock,4,8,5,17,31,3,10,4,34,14,31,65,7,18,9,34,-34,0.206,0.912,1.912,17,2004
Freiburg,2,9,6,18,31,1,13,3,44,12,30,75,3,22,9,34,-45,0.088,0.882,2.206,18,2004
Werder Bremen,12,2,3,50,18,9,4,4,19,29,79,37,21,6,7,34,42,0.618,2.324,1.088,1,2005
